Variable,kg_label,% Change,% Change,CI 2.5%,CI 2.5%,CI 97.5%,CI 97.5%,Midday Δ,Midday Δ,N drought days,N drought days,N non-drought days,N non-drought days
,,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET,ECOCO,FLUXNET
ET,BSk,-20.95,-23.39,-121.23,-57.92,5.81,-37.19,-56.2,-47.72,12.0,534.0,26.0,914.0
ET,Cfb,-19.59,-9.7,-119.8,-35.34,-39.02,-18.7,-77.72,-26.97,7.0,807.0,19.0,1181.0
ET,Dfb,-11.06,-7.15,-110.23,-29.53,88.74,-9.62,-24.23,-19.47,6.0,398.0,27.0,675.0
GPP,BSk,-28.79,-25.47,-5.53,-2.68,-0.13,-1.43,-2.77,-2.06,12.0,534.0,26.0,914.0
GPP,Cfb,-35.86,-13.44,-9.37,-2.79,-3.66,-1.68,-6.56,-2.23,7.0,807.0,19.0,1181.0
GPP,Dfb,-32.53,-2.25,-9.38,-1.1,-1.54,0.19,-5.48,-0.43,6.0,398.0,27.0,675.0
WUE,BSk,54.0,21.6,-0.47,0.15,2.89,0.44,1.08,0.29,12.0,534.0,26.0,914.0
WUE,Cfb,-19.13,-16.27,-1.45,-0.49,0.49,-0.29,-0.58,-0.38,7.0,807.0,19.0,1181.0
WUE,Dfb,-29.12,-13.46,-4.02,-0.57,0.76,-0.26,-1.81,-0.41,6.0,398.0,27.0,675.0
